,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,217.01,218.8538,210.42,212.4199,212.4199,121117252,121117252,-4.59,-2.11516,213.9,"October 20, 23",-0.0211516
1,2023-10-19,225.95,230.61,216.78,220.11,220.11,169759956,168871856,-5.84,-2.58,222.0,"October 19, 23",-0.0258
2,2023-10-18,252.7,254.63,242.08,242.68,242.68,125116646,125147800,-10.02,-3.97,246.01,"October 18, 23",-0.0397
3,2023-10-17,250.1,257.183,247.08,254.85,254.85,93535509,93562900,4.75,1.9,253.22,"October 17, 23",0.019
4,2023-10-16,250.05,255.3999,248.48,253.92,253.92,88916276,88917200,3.87,1.55,252.91,"October 16, 23",0.0155
5,2023-10-13,258.9,259.6,250.22,251.12,251.12,102137686,102073800,-7.78,-3.01,254.05,"October 13, 23",-0.0301
6,2023-10-12,262.92,265.41,256.6307,258.87,258.87,111508114,111508100,-4.05,-1.54,261.72,"October 12, 23",-0.0154
7,2023-10-11,266.2,268.6,260.9,262.99,262.99,103706266,103706300,-3.21,-1.21,264.07,"October 11, 23",-0.0121
8,2023-10-10,257.75,268.94,257.65,263.62,263.62,122656030,122656000,5.87,2.28,264.95,"October 10, 23",0.0228
9,2023-10-09,255.31,261.36,252.05,259.67,259.67,101377947,101377900,4.36,1.71,256.32,"October 09, 23",0.0171
10,2023-10-06,253.98,261.65,250.65,260.53,260.53,118108312,117947000,6.55,2.58,256.32,"October 06, 23",0.0258
11,2023-10-05,260.0,263.6,256.25,260.05,260.05,119159214,119159200,0.05,0.01923077,259.67,"October 05, 23",0.0001923077
12,2023-10-04,248.14,261.86,247.6,261.16,261.16,129721567,129721600,13.02,5.25,255.8,"October 04, 23",0.0525
13,2023-10-03,248.61,250.02,244.45,246.53,246.53,101985305,101985300,-2.08,-0.83665,247.37,"October 03, 23",-0.0083665
14,2023-10-02,244.81,254.2799,242.62,251.6,251.6,123810402,123810400,6.79,2.77,249.4,"October 02, 23",0.0277
15,2023-09-29,250.0,254.77,246.35,250.22,250.22,128472729,128346200,0.22,0.088,251.04,"September 29, 23",0.00088
16,2023-09-28,240.02,247.55,238.65,246.38,246.38,117043180,117058900,6.36,2.65,244.0,"September 28, 23",0.0265
17,2023-09-27,244.262,245.33,234.58,240.5,240.5,136585184,136597200,-3.762,-1.54,240.48,"September 27, 23",-0.0154
18,2023-09-26,242.98,249.55,241.6601,244.12,244.12,101934431,101993600,1.14,0.46917,245.56,"September 26, 23",0.0046917
19,2023-09-25,243.38,247.1,238.31,246.99,246.99,104583747,104636600,3.61,1.48,244.2,"September 25, 23",0.0148
20,2023-09-22,257.4,257.7888,244.48,244.88,244.88,127524083,127024300,-12.52,-4.86,251.42,"September 22, 23",-0.0486
21,2023-09-21,257.85,260.86,254.21,255.7,255.7,119803341,119531000,-2.15,-0.83382,257.49,"September 21, 23",-0.0083382
22,2023-09-20,267.04,273.93,262.4606,262.59,262.59,122491643,122514600,-4.45,-1.67,268.26,"September 20, 23",-0.0167
23,2023-09-19,264.35,267.85,261.2,266.5,266.5,103677113,103704000,2.15,0.81332,264.95,"September 19, 23",0.0081332
24,2023-09-18,271.16,271.44,263.7601,265.28,265.28,101540959,101543300,-5.88,-2.17,266.83,"September 18, 23",-0.0217
25,2023-09-15,277.55,278.98,271.0,274.39,274.39,133692313,133422800,-3.16,-1.14,274.33,"September 15, 23",-0.0114
26,2023-09-14,271.32,276.7094,270.42,276.04,276.04,107709842,107709800,4.72,1.74,274.5,"September 14, 23",0.0174
27,2023-09-13,270.07,274.98,268.1,271.3,271.3,111673737,111673700,1.23,0.45544,271.58,"September 13, 23",0.0045544
